"Poor:[46.0, 62.0]","Interm:[63.0, 66.0]","Good:[67.0, 71.0]","Excel:[72.0, 94.0]"
0.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0
0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0
0.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0
0.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0
0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0
0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0
